session_id,WER_c1,WER_c2,DER_mix,DER_c1,DER_c2,red_c1,red_c2,sil_c1,sil_c2,SNR_c1,SNR_c2,result,fail_reasons
en_6314,0.06554054054054054,0.21132596685082872,0.0024,0.0061,0.0792,,,-40.46385051718336,-35.07645067707706,18.24072079383319,13.627182554929746,FAIL,WER(c2)=0.21; SNR(c1)=18.2; SNR(c2)=13.6; sil(c2)=-35.08
en_6348,0.08524289642529789,0.10192616372391654,0.0116,0.016,0.0768,,,-55.08130969474209,-47.8351548761858,31.14957652034154,22.952242223368824,FAIL,WER(c2)=0.10
en_6408,0.38735177865612647,0.060085836909871244,0.011,0.117,0.0479,,,-50.68370777287996,-43.136086126735535,21.451751298729054,18.152422701959207,FAIL,WER(c1)=0.39; DER(c1)=0.12; SNR(c2)=18.2
en_6447,0.15334773218142547,0.06543624161073826,0.0081,0.0487,0.0426,,,-48.92167276717576,-39.58729464469775,27.40971172994235,24.82445881317943,FAIL,WER(c1)=0.15; sil(c2)=-39.59
en_6456,0.24113475177304963,0.22739018087855298,0.013,0.0247,0.1104,,,-45.63291652905245,-49.512590040140026,13.110154622399488,32.499490224029486,FAIL,WER(c1)=0.24; WER(c2)=0.23; DER(c2)=0.11; SNR(c1)=13.1
en_6467,0.8426966292134831,0.1134020618556701,0.0598,0.0416,0.0468,,,-59.014765896477996,-51.035700186856005,35.08452257822589,29.468054672026152,FAIL,WER(c1)=0.84; WER(c2)=0.11; DER(mix)=0.06
en_6479,0.16923076923076924,0.07197549770290965,0.0071,0.0796,0.0394,,,-30.541018820927658,-27.430876798073708,13.239465754579275,11.946851424741475,FAIL,WER(c1)=0.17; SNR(c1)=13.2; SNR(c2)=11.9; sil(c1)=-30.54; sil(c2)=-27.43
en_6521,0.426497277676951,0.22761194029850745,0.069,0.8125,0.1205,,,-49.064037502205124,-41.84132949682316,15.709066928477654,17.97804938497629,FAIL,WER(c1)=0.43; WER(c2)=0.23; DER(mix)=0.07; DER(c1)=0.81; DER(c2)=0.12; SNR(c1)=15.7; SNR(c2)=18.0
en_6625,0.05688622754491018,0.21611721611721613,0.0011,0.0158,0.0337,,,-52.71282129987698,-52.1046506954672,32.53421198398072,31.42787078911095,FAIL,WER(c2)=0.22
en_6785,0.17050691244239632,0.12312811980033278,0.0192,0.0075,0.0394,,,-56.535503286787474,-49.392464625534124,35.60023777331739,24.580997501058146,FAIL,WER(c1)=0.17; WER(c2)=0.12
en_6825,0.3343108504398827,0.09779179810725552,0.0022,0.0066,0.0069,,,-58.82372147188876,-55.29947143114701,36.19919803990669,32.55559627319058,FAIL,WER(c1)=0.33
en_6861,0.19393939393939394,0.14124293785310735,0.0118,0.086,0.0207,,,-46.85138146731539,-55.46200070456824,17.081656624455892,31.656114612243094,FAIL,WER(c1)=0.19; WER(c2)=0.14; SNR(c1)=17.1
